id,title,location,salary_min,salary_max,description,category
A1001,"Senior Data Scientist (Python/AWS)","San Francisco, CA",120000,160000,"Must have 5+ years exp. Requires expertise in Python, AWS certification preferred, and Spark.","IT Jobs"
A1002,"Jr. Java Engineer","New York, NY",75000,95000,"1 year experience with Java. No cloud experience required.","IT Jobs"
A1003,"Cloud Architect - Spring Boot","San Francisco, CA",150000,180000,"Lead role. Need 10+ years exp. Mandatory Spring Boot and AWS certification.","IT Jobs"
A1004,"Data Analyst / SQL Specialist","San Jose, CA",90000,110000,"2 years experience, strong SQL, some Python learning is a plus.","IT Jobs"
A1005,"Senior ML Engineer (Python)","New York, NY",140000,180000,"Senior role requiring 7+ years exp. Heavy Python and ML model development.","IT Jobs"
A1006,"Entry Level Software Dev","Austin, TX",,,"Recent graduate. No experience necessary. Uses Java.","IT Jobs"
A1007,"Machine Learning Engineer","Denver, CO",115000,145000,"3+ years experience with ML pipelines, Python, scikit-learn, and Airflow.","IT Jobs"
A1008,"Data Scientist - NLP","Boston, MA",130000,165000,"Requires NLP transformer model experience, Python, PyTorch, and cloud exposure.","IT Jobs"
A1009,"Backend Engineer (Go)","Phoenix, AZ",105000,135000,"Go services, microservices, Docker, Kubernetes experience preferred.","IT Jobs"
A1010,"Cloud DevOps Associate","Seattle, WA",85000,105000,"0–2 years DevOps experience. CI/CD, Docker basics, and Linux.","IT Jobs"
A1011,"Software Engineer (React/Node)","Chicago, IL",95000,125000,"Full-stack position. Requires React, Node, and REST API skills.","IT Jobs"
A1012,"AI Research Intern","Remote",,,"Graduate student preferred. Python, ML fundamentals required.","IT Jobs"
A1013,"Data Engineer I","Salt Lake City, UT",90000,120000,"SQL, ETL pipelines, Python, and basic AWS experience.","IT Jobs"
A1014,"Sr. DevOps Engineer (AWS)","San Francisco, CA",145000,175000,"Expert in AWS, Terraform, and Kubernetes. 6+ years exp.","IT Jobs"
A1015,"ML Ops Engineer","Atlanta, GA",110000,140000,"Build training pipelines, deploy ML models, and support model monitoring.","IT Jobs"
A1016,"Analytics Engineer","Portland, OR",100000,130000,"DBT, SQL, Snowflake, and analytics modeling experience.","IT Jobs"
A1017,"Junior Python Developer","Dallas, TX",70000,90000,"Entry-level scripting and API integration.","IT Jobs"
A1018,"Data Visualization Specialist","Los Angeles, CA",95000,120000,"Tableau, Power BI, and dashboarding experience required.","IT Jobs"
A1019,"Senior Software Engineer (Java)","Minneapolis, MN",130000,160000,"Java Spring, microservices, AWS, and team leadership.","IT Jobs"
A1020,"Cloud Security Engineer","Houston, TX",135000,170000,"Azure/AWS security controls, IAM, and compliance.","IT Jobs"
A1021,"AI Engineer (LLMs)","San Francisco, CA",150000,190000,"Experience with LLM fine-tuning, GPUs, and distributed training.","IT Jobs"
A1022,"Data Analyst Intern","Remote",,,"Basic SQL required. Python preferred.","IT Jobs"
